Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Exercise
2016-03-03 09:55:40.000,-0.992,-0.25,-0.027,2.0312959712391043,1.207652417292189,-1.1363277345826108,0.0
2016-03-03 09:55:40.010,-0.988,-0.25,-0.031,1.3294130773671684,0.8586172324084872,-0.7537588118211475,0.0
2016-03-03 09:55:40.020,-0.992,-0.25,-0.031,0.36351746126530504,0.6224244658369482,-0.5916503796817005,0.0
2016-03-03 09:55:40.030,-0.992,-0.254,-0.031,-0.09435422581340774,0.5600027240430772,-0.6949412565450602,0.0
2016-03-03 09:55:40.040,-0.992,-0.262,-0.023,-0.07207147857433974,0.7940140294404906,-0.9465493565133382,0.0
2016-03-03 09:55:40.050,-0.996,-0.266,-0.023,0.14106285310497604,1.1514538010128306,-1.2333571180429534,0.0
2016-03-03 09:55:40.060,-0.996,-0.27,-0.02,0.29185439559483234,1.1131124809213722,-1.2816222307644822,0.0
2016-03-03 09:55:40.070,-1.0,-0.27,-0.016,0.31156600060192746,0.7768681403486117,-1.1640878187473254,0.0
2016-03-03 09:55:40.080,-1.0,-0.273,-0.023,0.47080527855130205,0.7089714208247079,-1.1289936590400873,0.0
2016-03-03 09:55:40.090,-0.996,-0.277,-0.027,0.6778439711368359,0.8828431396488616,-1.0702716332723343,0.0
2016-03-03 09:55:40.100,-1.0,-0.273,-0.035,0.5656019070784346,0.9798737981726937,-0.9915533124463545,0.0
2016-03-03 09:55:40.110,-1.0,-0.27,-0.043,-0.18921890195270563,0.7986932662773917,-0.812597119615392,0.0
2016-03-03 09:55:40.120,-0.996,-0.27,-0.039,-1.3264806771990374,0.5105771788236367,-0.45190794880181073,0.0
2016-03-03 09:55:40.130,-0.988,-0.273,-0.035,-1.5144231717047665,0.7136528074603583,-0.26381503830496866,0.0
2016-03-03 09:55:40.140,-0.984,-0.277,-0.035,-0.31892613687126076,1.3133158371157614,-0.3219159063598313,0.0
2016-03-03 09:55:40.150,-0.977,-0.273,-0.031,0.8875331227408971,1.7452002348012587,-0.3563850849847726,0.0
2016-03-03 09:55:40.160,-0.973,-0.27,-0.031,0.9235442750186376,1.9402236011519194,-0.3971664627332992,0.0
2016-03-03 09:55:40.170,-0.98,-0.27,-0.031,-0.160932006675449,1.7016332552298394,-0.5443002674242344,0.0
2016-03-03 09:55:40.180,-0.973,-0.273,-0.027,-1.3141708496275575,0.9170561662189614,-0.5762940208030818,0.0
2016-03-03 09:55:40.190,-0.973,-0.273,-0.027,-1.423005955916564,0.4434177122100654,-0.6017523380995722,0.0
2016-03-03 09:55:40.200,-0.973,-0.277,-0.031,-0.8217447264373678,0.5909504408943347,-0.9508782587776423,0.0
2016-03-03 09:55:40.210,-0.969,-0.273,-0.031,-0.5319993287518568,0.6220410647874504,-1.3184011569261773,0.0
2016-03-03 09:55:40.220,-0.969,-0.277,-0.031,-0.05007834683456719,0.7919054624767146,-1.6595353345545063,0.0
2016-03-03 09:55:40.230,-0.973,-0.273,-0.027,1.230133412946528,1.341039889659689,-2.0304541436869874,0.0
2016-03-03 09:55:40.240,-0.973,-0.27,-0.031,2.04971464749781,1.4628188321792752,-1.8503901032004948,0.0
2016-03-03 09:55:40.250,-0.973,-0.277,-0.027,2.0511381272909954,1.3773666146737586,-1.2986638384301425,0.0
2016-03-03 09:55:40.260,-0.98,-0.277,-0.031,2.313331709070014,1.547949137127838,-0.9788061017460631,0.0
2016-03-03 09:55:40.270,-0.984,-0.273,-0.035,2.1112266629031793,1.3218577539427914,-0.7141600395284647,0.0
2016-03-03 09:55:40.280,-0.984,-0.277,-0.035,0.6694139240575626,0.8190324438849705,-0.5243912695562181,0.0
2016-03-03 09:55:40.290,-0.988,-0.289,-0.035,-0.14636280887917894,0.8459805162902754,-0.7013841883947282,0.0
2016-03-03 09:55:40.300,-0.992,-0.297,-0.031,0.9674226930100396,1.138156041748793,-0.8516937363941761,0.0
2016-03-03 09:55:40.310,-0.992,-0.281,-0.023,2.3511809654788896,1.1747046911264818,-0.6532522005414813,0.0
2016-03-03 09:55:40.320,-0.992,-0.289,-0.027,2.254556981527888,0.9547746512808135,-0.4329132498009415,0.0
2016-03-03 09:55:40.330,-0.996,-0.289,-0.02,1.6262538141405938,0.6056495934529085,-0.32380507849027146,0.0
2016-03-03 09:55:40.340,-1.0,-0.293,-0.02,1.7793121447127693,0.3354703382352135,-0.1548727769316082,0.0
2016-03-03 09:55:40.350,-0.996,-0.293,-0.023,1.9287802994220942,0.16578525982351464,0.09205782958744738,0.0
2016-03-03 09:55:40.360,-0.996,-0.293,-0.027,1.7937171754630294,0.07185376042831575,0.27644904586450963,0.0
2016-03-03 09:55:40.370,-0.992,-0.289,-0.031,2.007418089781715,0.12261723740479838,0.40543303209392556,0.0
2016-03-03 09:55:40.380,-0.984,-0.289,-0.031,2.264342089865926,0.39998064622029195,0.5411942248262147,0.0
2016-03-03 09:55:40.390,-0.984,-0.285,-0.035,2.39875043331339,0.8994392089945493,0.5764329155403751,0.0
2016-03-03 09:55:40.400,-0.984,-0.285,-0.035,2.170151476346641,1.1726898991516848,0.7252521234620597,0.0
2016-03-03 09:55:40.410,-0.98,-0.285,-0.035,1.5445559445735686,1.0776905442513405,1.2283088856275888,0.0
2016-03-03 09:55:40.420,-0.98,-0.277,-0.027,1.4731675583938517,0.9514393948315094,1.8516187421210097,0.0
2016-03-03 09:55:40.430,-0.977,-0.273,-0.027,1.5760520967160419,0.7810776788929816,2.4424397372665827,0.0
